"""What is your primary affiliation with Harvard?""","""What question do you have about teaching and learning?""","""I have proposed that successive relearning is a highly effective strategy for students to use when studying.  Are you enthusiastic skeptical or somewhere in between?""","""Do you feel confident that the depth duration and sequence of this curriculum provides students with the practice they need to think critically about standard problems in your discipline?"""
Other,isn't part of the drive to assess part of the structural transformation of the faculty from learned professionals to technically specialized employees?,Enthusiastic,No
Harvard Graduate School of Education,,Enthusiastic,No
Harvard Graduate School of Education,,Enthusiastic,No
Other,,Enthusiastic,No
Faculty of Arts and Sciences,"Should we hold stude, Should we hold students accountable for long term retention?",Somewhere in between,No
Faculty of Arts and Sciences,,,
Harvard Graduate School of Education,,Skeptical,No
Other,,,
Faculty of Arts and Sciences,,Enthusiastic,Yes
Harvard School of Public Health,,Enthusiastic,No
Faculty of Arts and Sciences,,Enthusiastic,Yes
Harvard Law School,,,
Harvard Graduate School of Education,"Considering the various definitions of ""learning"", which are effectively assessed through recall?, How do we gather and share rich data about learning that is not easily quantifiable?, When we define learning as delayed recall, how does this limit our investigation of quality teaching?",Skeptical,No
Faculty of Arts and Sciences,,Enthusiastic,Yes
Central Administration,,Somewhere in between,Yes
Other,,Somewhere in between,No
Faculty of Arts and Sciences,,Somewhere in between,No
Harvard Law School,,Somewhere in between,
Harvard Divinity School,,Enthusiastic,Yes
Faculty of Arts and Sciences,,Enthusiastic,No
Harvard Graduate School of Education,,Somewhere in between,Yes
Harvard Graduate School of Education,,Enthusiastic,No
Faculty of Arts and Sciences,,,
Other,,,
Faculty of Arts and Sciences,,Enthusiastic,Yes
Graduate School of Design,,Enthusiastic,No
Harvard Medical School (including HSDM),,,
Other,"How to teach innovation?, How to evaluate a learning or teaching is successful?",Enthusiastic,No
Other,,Enthusiastic,Yes
Faculty of Arts and Sciences,,,
School of Engineering and Applied Sciences,,,No
Faculty of Arts and Sciences,,,Yes
Harvard School of Public Health,,,
Other,,,
Harvard Business School,,Enthusiastic,No
Harvard Medical School (including HSDM),,Enthusiastic,No
Faculty of Arts and Sciences,,,
Harvard Law School,,,
Harvard Business School,"How can faculty & staff collaborate to create an environment that promotes a ""virtuous circle"" where learning and the application of knowledge & skills are reinforced both inside & outside the classroom?",Enthusiastic,Yes
Other,,,
Harvard Graduate School of Education,,Somewhere in between,
Central Administration,,Somewhere in between,No
Harvard Business School,,Somewhere in between,No
Harvard Medical School (including HSDM),,Somewhere in between,No
Harvard Medical School (including HSDM),,Enthusiastic,No
Harvard Medical School (including HSDM),What are the most successful models for cross-campus delivery of discussion-based curriculum to bridge our different schools and different groups of students?,Enthusiastic,
Harvard Kennedy School,,Enthusiastic,No
Harvard Graduate School of Education,,Skeptical,Yes
Harvard Graduate School of Education,,,
Faculty of Arts and Sciences,,Somewhere in between,No
Faculty of Arts and Sciences,"Faculty: we (instructional support staff) struggle to make ourselves available to you, yet so often you voice concern that you do not have enough support. How can we do a better job of reaching out to you when you need us?",Enthusiastic,No
Faculty of Arts and Sciences,,Somewhere in between,No
Harvard Graduate School of Education,,Somewhere in between,No
Harvard Graduate School of Education,,Enthusiastic,No
Harvard Graduate School of Education,,,
Central Administration,,,
Harvard School of Public Health,,Enthusiastic,No
Harvard Divinity School,,Skeptical,No
Other,,Enthusiastic,No
Faculty of Arts and Sciences,,Somewhere in between,No
Harvard Business School,,Enthusiastic,
Faculty of Arts and Sciences,,Enthusiastic,No
Faculty of Arts and Sciences,,Enthusiastic,
Harvard Graduate School of Education,,Enthusiastic,Yes
Harvard Medical School (including HSDM),,Enthusiastic,No
School of Engineering and Applied Sciences,,Skeptical,No
Central Administration,,Enthusiastic,Yes
Harvard School of Public Health,,,No
School of Engineering and Applied Sciences,,,
Faculty of Arts and Sciences,,Enthusiastic,
Harvard Kennedy School,,Somewhere in between,
School of Engineering and Applied Sciences,,,Yes
Faculty of Arts and Sciences,Katherine Rawson and Eric Mazur have made directly opposing statements about notecards in the past two days. I'd love to hear a discussion - diversity about points of view is interesting!,Somewhere in between,Yes
Harvard Law School,,,
Harvard Kennedy School,,,
Graduate School of Design,,Skeptical,
,,Enthusiastic,Yes
Harvard Law School,,Enthusiastic,No
,,Skeptical,Yes
School of Engineering and Applied Sciences,,Enthusiastic,Yes
Central Administration,,Somewhere in between,
Harvard Medical School (including HSDM),,,
Graduate School of Design,,Enthusiastic,No
Faculty of Arts and Sciences,,,
Graduate School of Design,,Enthusiastic,Yes
Faculty of Arts and Sciences,,Enthusiastic,No
Harvard Law School,,Somewhere in between,
School of Engineering and Applied Sciences,,Enthusiastic,
Harvard Graduate School of Education,,,
Other,,,
Harvard Law School,,Enthusiastic,Yes
Faculty of Arts and Sciences,,Enthusiastic,No
Other,,,
Harvard Medical School (including HSDM),,,
Harvard School of Public Health,,,
Harvard Law School,,Enthusiastic,Yes
Harvard Divinity School,,Somewhere in between,Yes
Harvard Kennedy School,,,
Other,,,
Faculty of Arts and Sciences,,,
Harvard Graduate School of Education,,,
Faculty of Arts and Sciences,,Enthusiastic,No
Harvard School of Public Health,,,
Other,,,
Graduate School of Design,,,
Harvard School of Public Health,,Enthusiastic,No
,Is there any data showing positive or negative impacts of courses that make extensive use of activity based learning,Enthusiastic,No
Harvard Graduate School of Education,,Somewhere in between,
Faculty of Arts and Sciences,,,No
Harvard School of Public Health,,Somewhere in between,No
Harvard Divinity School,C,Somewhere in between,Yes
Harvard Graduate School of Education,,,
Harvard School of Public Health,,Skeptical,Yes
Faculty of Arts and Sciences,,,
Harvard Graduate School of Education,,,
Harvard Graduate School of Education,,Enthusiastic,No
Central Administration,,Enthusiastic,
Harvard Law School,,Somewhere in between,Yes
Other,,Enthusiastic,Yes
Harvard Medical School (including HSDM),,Somewhere in between,No
Harvard Medical School (including HSDM),,,
Central Administration,,,Yes
Harvard Graduate School of Education,,,Yes
Harvard Graduate School of Education,,Enthusiastic,No
,,Enthusiastic,No
Harvard Graduate School of Education,,,Yes
Harvard Kennedy School,,Skeptical,
,,Enthusiastic,No
,,Enthusiastic,Yes
Faculty of Arts and Sciences,,Enthusiastic,
Harvard School of Public Health,,,
Harvard Kennedy School,,Somewhere in between,No
,,Somewhere in between,Yes
Harvard Medical School (including HSDM),,,
,,Enthusiastic,No
,,Enthusiastic,
,,Enthusiastic,Yes
Faculty of Arts and Sciences,,Enthusiastic,No
Harvard Medical School (including HSDM),,Enthusiastic,
,,Enthusiastic,No
,,Enthusiastic,No
,,Enthusiastic,No
,,Enthusiastic,No
,,Enthusiastic,No
,,,No
,,Enthusiastic,Yes
,,Somewhere in between,No
,,Enthusiastic,No
,What should we be teaching: content and curriculum choices? (e.g. Is Shakespeare relevant in the 21st century),Somewhere in between,No
,,Somewhere in between,No
,,Enthusiastic,No
,,,No
,,Enthusiastic,Yes
,,,No
,,Skeptical,No
,,Skeptical,No
,,Somewhere in between,Yes
,,Enthusiastic,No
,,Somewhere in between,No
,,,Yes
,,,No
,,,Yes
,,Somewhere in between,No
,,,No
,,Enthusiastic,No
,,Enthusiastic,Yes
,,Enthusiastic,
,,Enthusiastic,
,,Enthusiastic,
,,Enthusiastic,
,,Somewhere in between,
,,Enthusiastic,
,,Enthusiastic,
,,Somewhere in between,
,,Enthusiastic,
,,Somewhere in between,
,,Enthusiastic,
,,Somewhere in between,
,,Enthusiastic,
,,Somewhere in between,
,,Enthusiastic,
,,Skeptical
,,Somewhere in between
,,Enthusiastic
,,Somewhere in between
,,Somewhere in between
,,Somewhere in between
,,Somewhere in between
,"With the advent of MOOCs (massive open on-line course) such as those offered by EdX, what would be the best way to leverage these large communities of students to inform and drive teaching methods? 

Example:

It may be possible to implement semi-randomized studies of teaching methods which are not adverse to students (maintain ""fairness"" in grading) but which would not only be able to which teaching methods perform better than others (e.g., short teaching section immediately followed by short problem vs. long, in-depth teaching section followed by longer exercises at a later date) but also to develop mechanisms to differentiate between which methods are best suited for which students.

This may be important since it seem likely that some students will be better helped by one method while others by another, and it may be possible to create a more personal or individually optimized learning experience at relatively low per-student cost.

- 132d418bd5a4de28b4e5357613b5ad8857b5480139613e9f2b8e5636",
,what is the appropriate unit of time across which to measure change in student or teacher efficiency? Semester? 4 years? Lifetime?,
,Some great online courses in the sciences have interactive exercises and simulations. What are potential advantages of online courses in the social sciences and humanities? -Hauke,
,"Much of the research on learning seems focused on helping students to master certain types of information and concepts.  However, most of the people in this room indicated that the most important things about learning have to do with engagement, passion, and, Most of the researc, Most",
,"Is ""students retain 90% of what they do, 50% of what they hear and 10% of what they see"" a myth?",
